ID,Razón Social,NIT,Sector,Vacantes Encontradas,Última Vacante,Email Encontrado,Teléfono Encontrado,Estado
"1","ALPINA PRODUCTOS ALIMENTICIOS S A","","",0,"","","","Sin vacantes"
"2","Banco Davivienda S.A.","","",0,"","","","Sin vacantes"
"3","Colombia Movil","","",0,"","","","Sin vacantes"
"4","Colombia Telecomunicaciones S.A. ESP","","",0,"","","","Sin vacantes"
"5","Claro Colombia - Comcel - America Movil - Telmex","","",0,"","","","Sin vacantes"
"6","Banco Colpatria Multibanca Colpatria S.A","","",0,"","","","Sin vacantes"
"7","Telefonica Moviles Colombia S A","","",0,"","","","Sin vacantes"
"8","PROCIBERNETICA S.A.","","",0,"","","","Sin vacantes"
"9","Amazing Colombia S.A","","",0,"","","","Sin vacantes"
"10","Centro de Servicios Mundial S.A.S.","","",0,"","","","Sin vacantes"
"11","Tecnocom Colombia SAS","","",0,"","","","Sin vacantes"
"12","Helm Bank SA","","",0,"","","","Sin vacantes"
"13","BANCO DE OCCIDENTE S A","","",0,"","","","Sin vacantes"
"14","Equion Energia Limited","","",0,"","","","Sin vacantes"
"15","Grupo Orbis S.A","","",0,"","","","Sin vacantes"
"16","Compañia de seguros Positiva","","",0,"","","","Sin vacantes"
"17","Tv Azteca Sucursal Colombia","","",0,"","","","Sin vacantes"
"18","Makro Computo S A","","",0,"","","","Sin vacantes"
"19","ITIS Support Ltda","","",0,"","","","Sin vacantes"
"20","PONTIFICIA UNIVERSIDAD JAVERIANA","","",0,"","","","Sin vacantes"
"21","Cementos Argos SA","","",0,"","","","Sin vacantes"
"22","Comite de Cafeteros de Caldas","","",0,"","","","Sin vacantes"
"23","A TODA HORA S A","","",0,"","","","Sin vacantes"
"24","Universidad Autonoma De Occidente","","",0,"","","","Sin vacantes"
"25","Ajover SA","","",0,"","","","Sin vacantes"
"26","E.P.S. FAMISANAR LTDA","","",0,"","","","Sin vacantes"
"27","Compania Colombiana de Quimicos SA","","",0,"","","","Sin vacantes"
"28","EPS FAMISANAR LTDA","","",0,"","","","Sin vacantes"
"29","UNE EPM Telecomunicaciones SA","","",0,"","","","Sin vacantes"
"30","BBVA","","",0,"","","","Sin vacantes"
"31","Conix S.A.","","",0,"","","","Sin vacantes"
"32","CENTRALES ELECTRICAS DE NORTE DE SANTANDER S A E.S","","",0,"","","","Sin vacantes"
"33","Empresa De Telecomunicaciones De Bucaramanga S.A","","",0,"","","","Sin vacantes"
"34","Direccion Nacional De Inteligencia","","",0,"","","","Sin vacantes"
"35","Colombiana De Comercio SA Corbeta SA YO Alkosto SA","","",0,"","","","Sin vacantes"
"36","BBVA Colombia S.A","","",0,"","","","Sin vacantes"
"37","Banco Agrario De Colombia S A","","",0,"","","","Sin vacantes"
"38","Banco Caja Social","","",0,"","","","Sin vacantes"
"39","Experian Colombia S.A.","","",0,"","","","Sin vacantes"
"40","UNIVERSIDAD DE LA SALLE","","",0,"","","","Sin vacantes"
"41","Cooperativa Nacional de Droguistas Detallistas  Copidrogas","","",0,"","","","Sin vacantes"
"42","Caja Colombiana De Subsidio Familiar Colsubsidio","","",0,"","","","Sin vacantes"
"43","Universidad De La Sabana","","",0,"","","","Sin vacantes"
"44","Dijon Corporation Ltd.","","",0,"","","","Sin vacantes"
"45","COVINOC S.A.","","",0,"","","","Sin vacantes"
"46","Avantel S.A.S","","",0,"","","","Sin vacantes"
"47","FUNDACION UNIVERSIDAD DEL NORTE","","",0,"","","","Sin vacantes"
"48","ELECTRIFICADORA DE SANTANDER S.A. E.S.P.","","",0,"","","","Sin vacantes"
"49","UNIVERSIDAD DE LOS ANDES","","",0,"","","","Sin vacantes"
"50","UNIVERSIDAD DE SAN BUENAVENTURA","","",0,"","","","Sin vacantes"
"51","BANCOLOMBIA","","",0,"","","","Sin vacantes"
"52","BANCO DE BOGOTA S A","","",0,"","","","Sin vacantes"
"53","EDATEL S.A. E.S.P.","","",0,"","","","Sin vacantes"
"54","CENTRAL HIDROELECTRICA DE CALDAS S A CHEC","","",0,"","","","Sin vacantes"
"55","Empresa de Energía del Quindío S.A. E.S.P.","","",0,"","","","Sin vacantes"
"56","Banco Sudameris De Colombia Sa","","",0,"","","","Sin vacantes"
"57","Nueva Empresa Promotora de Salud S A","","",0,"","","","Sin vacantes"
"58","Pollos El Bucanero S.A","","",0,"","","","Sin vacantes"
"59","Caja de Compensacion Familiar de Caldas","","",0,"","","","Sin vacantes"
"60","ALMACENES GENERALES DE DEPOSITO DE CAFE S A ALMACA","","",0,"","","","Sin vacantes"
"61","SEGUROS COMERCIALES BOLIVAR S A","","",0,"","","","Sin vacantes"
"62","Colombiana de Comercio SA","","",0,"","","","Sin vacantes"
"63","EMCALI E.I.C.E E.S.P","","",0,"","","","Sin vacantes"
"64","Independence Drilling S.A.","","",0,"","","","Sin vacantes"
"65","ALCATEL LUCENT DE COLOMBIA S A","","",0,"","","","Sin vacantes"
"66","Efectivo Ltda.","","",0,"","","","Sin vacantes"
"67","SOC ADM DE FDOS DE PENSIONES Y CESAN PORVENIR S.A","","",0,"","","","Sin vacantes"
"68","Almacenes LA 14 SA","","",0,"","","","Sin vacantes"
"69","CONCESION RUNT SA","","",0,"","","","Sin vacantes"
"70","Banco De Las Microfinanzas Bancamia SA","","",0,"","","","Sin vacantes"
"71","Asociacion Gremial de Instituciones Financieras Cr","","",0,"","","","Sin vacantes"
"72","MULTIDIMENSIONALES S.A.S","","",0,"","","","Sin vacantes"
"73","SIEMENS S.A. COLOMBIA","","",0,"","","","Sin vacantes"
"74","Pegatex  Artecola S.A","","",0,"","","","Sin vacantes"
"75","Procables S.A.S C.I","","",0,"","","","Sin vacantes"
"76","TRANSPORTADORA COMERCIAL COLOMBIANA S.A. (TCC)","","",0,"","","","Sin vacantes"
"77","Seguros Generales Suramericana SA","","",0,"","","","Sin vacantes"
"78","BANCO POPULAR S A","","",0,"","","","Sin vacantes"
"79","COOMEVA CALI","","",0,"","","","Sin vacantes"
"80","REDEBAN","","",0,"","","","Sin vacantes"
"81","Fundacion Universitaria Tecnologico Comfenalco-Car","","",0,"","","","Sin vacantes"
"82","Level 3 Colombia SA","","",0,"","","","Sin vacantes"
"83","Consorcio PST","","",0,"","","","Sin vacantes"
"84","Corporacion de Acero Corpacero Marco Y E","","",0,"","","","Sin vacantes"
"85","Desca colombia s.a.","","",0,"","","","Sin vacantes"
"86","UNIVERSIDAD COOPERATIVA DE COLOMBIA","","",0,"","","","Sin vacantes"
"87","Direccion De Investigacion Criminal e Interpol","","",0,"","","","Sin vacantes"
"88","Deposito Centralizado de Valores de Colombia Decev","","",0,"","","","Sin vacantes"
"89","Liberty Seguros S.A","","",0,"","","","Sin vacantes"
"90","COMPANIA DE SEGUROS BOLIVAR S.A.","","",0,"","","","Sin vacantes"
"91","COMPANIA DE MEDICINA PREPAGADA COLSANITAS S.A","","",0,"","","","Sin vacantes"
"92","Red Colombiana de Servicios S.A.","","",0,"","","","Sin vacantes"
"93","Universidad Manuela Beltran","","",0,"","","","Sin vacantes"
"94","ASIC S.A.","","",0,"","","","Sin vacantes"
"95","Credicorp Capital Colombia S.A.","","",2,"Asociado de Estrategia BI para Negocios Fiduciarios","","","CON VACANTES TI"
"96","Autotecnica Colombiana SAS","","",0,"","","","Sin vacantes"
"97","Organizacion Corona SA","","",0,"","","","Sin vacantes"
"98","EMPRESAS VARIAS DE MEDELLIN","","",0,"","","","Sin vacantes"
"99","GAS NATURAL S.A.  E.S.P","","",0,"","","","Sin vacantes"
"100","Ekko Promotora SA","","",0,"","","","Sin vacantes"
"101","FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA","","",0,"","","","Sin vacantes"
"102","COOPERATIVA MEDICA DEL VALLE Y DE PROFESIONALES DE","","",0,"","","","Sin vacantes"
"103","EMPRESA DE ENERGIA DEL PACIFICO S A EPSA E S P","","",0,"","","","Sin vacantes"
"104","BANCO MUNDIAL DE LA MUJER - WWB COLOMBIA","","",0,"","","","Sin vacantes"
"105","COVINOC","","",0,"","","","Sin vacantes"
"106","Unidad De Servicios Penitenciarios Y Carcelarios S","","",0,"","","","Sin vacantes"
"107","Banco Comercial Av Villas SA","","",0,"","","","Sin vacantes"
"108","Synapsis Colombia SAS","","",0,"","","","Sin vacantes"
"109","CIA DE MEDICINA PREPAGADA COLSANITAS S A","","",0,"","","","Sin vacantes"
"110","Mineria Texas Colombia SA","","",0,"","","","Sin vacantes"
"111","Espumados S.A.","","",0,"","","","Sin vacantes"
"112","Sociedad De Acueductos Y Alcantarillados Del Valle","","",0,"","","","Sin vacantes"
"113","Colorquimica S.A.","","",0,"","","","Sin vacantes"
"114","Laboratorios Expofarma SA","","",0,"","","","Sin vacantes"
"115","TCRP TELECOMUNICACIONES SAS","","",0,"","","","Sin vacantes"
"116","Camara De Riesgo Central De Contraparte De Colombi","","",0,"","","","Sin vacantes"
"117","Asociacion Bancaria y de Entidades Financieras de","","",0,"","","","Sin vacantes"
"118","EPM Inversiones S.A.","","",0,"","","","Sin vacantes"
"119","ACH COLOMBIA S A","","",0,"","","","Sin vacantes"
"120","LABORATORIOS BUSIE","","",0,"","","","Sin vacantes"
"121","Allianz Seguros De Vida S.A.","","",0,"","","","Sin vacantes"
"122","TECNOQUIMICAS S A","","",0,"","","","Sin vacantes"
"123","Praco Didacol SA","","",0,"","","","Sin vacantes"
"124","Empresas Municipales De Cali E I C E E S P","","",0,"","","","Sin vacantes"
"125","Cooperativa Multiactiva De Detallistas De Colombia","","",0,"","","","Sin vacantes"
"126","Marval","","",0,"","","","Sin vacantes"
"127","Direccion de transito y transporte - Ditra","","",0,"","","","Sin vacantes"
"128","Excelsis SaCig","","",0,"","","","Sin vacantes"
"129","MEFIA SAS","","",0,"","","","Sin vacantes"
"130","Grupo ASD SAS","","",0,"","","","Sin vacantes"
"131","Centro de Servicios Crediticios S.A","","",0,"","","","Sin vacantes"
"132","Cooperativa Financiera Cotrafa","","",0,"","","","Sin vacantes"
"133","Fundacion Universidad DE Bogota Jorge Tadeo Lozano","","",0,"","","","Sin vacantes"
"134","Grupo Empresarial en Linea S.A.","","",0,"","","","Sin vacantes"
"135","Fortox S.A.","","",0,"","","","Sin vacantes"
"136","Datecsa SA","","",0,"","","","Sin vacantes"
"137","Contingencia","","",0,"","","","Sin vacantes"
"138","ELECTRIFICADORA DEL CARIBE S.A.-E.S.P.","","",0,"","","","Sin vacantes"
"139","Marval S.A.","","",0,"","","","Sin vacantes"
"140","EXPEDITORS DE COLOMBIA LTDA.","","",0,"","","","Sin vacantes"
"141","Code S.A.","","",0,"","","","Sin vacantes"
"142","Compañía De Servicios E Inversiones Alpes S.A.S","","",0,"","","","Sin vacantes"
"143","SI S.A.","","",0,"","","","Sin vacantes"
"144","CENTRO INTERNACIONAL DE AGRICULTURA TROPIAL-CIAT-","","",0,"","","","Sin vacantes"
"145","SODIMAC COLOMBIA S A","","",0,"","","","Sin vacantes"
"146","Cobiscorp Colombia SA","","",0,"","","","Sin vacantes"
"147","Gonvarri Ms Colombia S A S","","",0,"","","","Sin vacantes"
"148","Caja De Compensacion Familiar Del Huila","","",0,"","","","Sin vacantes"
"149","Industrias Ceno S A","","",0,"","","","Sin vacantes"
"150","Electrificadora Del Huila S.A. E.S.P.","","",0,"","","","Sin vacantes"
"151","Infomedia Service SA","","",0,"","","","Sin vacantes"
"152","PROQUINAL S A","","",0,"","","","Sin vacantes"
"153","Administradora Fondos DE Pensiones Y Cesantia Prot","","",0,"","","","Sin vacantes"
"154","GASES DEL CARIBE S A EMP DE SERV PUB","","",0,"","","","Sin vacantes"
"155","Triada Ltda.","","",0,"","","","Sin vacantes"
"156","COLTICKETS S.A.","","",0,"","","","Sin vacantes"
"157","INVERFAS S A","","",0,"","","","Sin vacantes"
"158","Manufacturas Eliot S.A.S","","",0,"","","","Sin vacantes"
"159","Compania Nacional de Levaduras-Levapan SA","","",0,"","","","Sin vacantes"
"160","Servientrega SA","","",0,"","","","Sin vacantes"
"161","Bcsc SA","","",0,"","","","Sin vacantes"
"162","INSTITUTO NACIONAL DE VIAS","","",0,"","","","Sin vacantes"
"163","CENTRALES ELECTRICAS DE NARINO S A E S P","","",0,"","","","Sin vacantes"
"164","HOSPITAL MILITAR CENTRAL","","",0,"","","","Sin vacantes"
"165","US Southern Command","","",0,"","","","Sin vacantes"
"166","ASESORIA EN SISTEMATIZACION DE DATOS S.A.- ASD","","",0,"","","","Sin vacantes"
"167","PETROBRAS COLOMBIA LIMITED","","",0,"","","","Sin vacantes"
"168","Corporacion Universitaria De La Costa  -  Cuc","","",0,"","","","Sin vacantes"
"169","SERVICIO GEOLOGICO COLOMBIANO","","",0,"","","","Sin vacantes"
"170","INTEGRAL S A","","",1,"Pasante de cocina","","","CON VACANTES TI"
"171","Hocol s a","","",0,"","","","Sin vacantes"
"172","XM Compania de Expertos en Mercados SA ESP","","",0,"","","","Sin vacantes"
"173","IMOCOM S.A.","","",0,"","","","Sin vacantes"
"174","Productos Quimicos Panamericanos","","",0,"","","","Sin vacantes"
"175","Global Solutions Group S.A.S.","","",0,"","","","Sin vacantes"
"176","Multienlace SAS","","",0,"","","","Sin vacantes"
"177","Emerald Energy","","",0,"","","","Sin vacantes"
"178","Top Drilling Company Sucursal Colombia","","",0,"","","","Sin vacantes"
"179","COLTEFINANCIERA S.A.","","",0,"","","","Sin vacantes"
"180","UNIVERSIDAD ECCI","","",0,"","","","Sin vacantes"
"181","Corona Industrial S.A.S.","","",0,"","","","Sin vacantes"
"182","EMPRESA DE ENERGIA DE BOGOTA S.A. ESP","","",0,"","","","Sin vacantes"
"183","CIFIN SA","","",0,"","","","Sin vacantes"
"184","Tickets Fast S.A.S","","",0,"","","","Sin vacantes"
"185","Fussion Corporation Colombia SAS","","",0,"","","","Sin vacantes"
"186","Instituto Geografico Agustin Codazzi","","",0,"","","","Sin vacantes"
"187","Universidad del SINU","","",0,"","","","Sin vacantes"
"188","Seguros De Riesgos Profesionales Suramericana SA","","",0,"","","","Sin vacantes"
"189","Masivo Capital SAS","","",0,"","","","Sin vacantes"
"190","Grow Data SAS","","",0,"","","","Sin vacantes"
"191","UNIVERSIDAD AGRARIA DE COLOMBIA","","",0,"","","","Sin vacantes"
"192","Emerald Energy PLC","","",0,"","","","Sin vacantes"
"193","Itelca SAS","","",0,"","","","Sin vacantes"
